company,country,expiration_date,product_type,product_name,id,address,city,state_province,phone,website,level_one_class,level_two_class,reasoning,society,company_clean,company_standardized,has_overlap,standardized_product_type
The Oilgear Company,United States,2028-05-01,Valve,"NV-8"" Anti-Recoil Valve",dnv_ba74cc20,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2027-08-23,Valve,"ARV-0808-D-02/08 NV-8"" ANTI-RECOIL VALVE",dnv_e1a0175d,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2027-07-11,Valve,,dnv_07c89fe0,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2027-03-27,Valve,ARV-0303-D-02,dnv_2280b1c4,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
AlcoTec Wire Corporation,United States,2026-12-31,Wire/Gas combination,ALMIGWELD ER 5556 / I1,dnv_a7c05f4a,,Traverse City,MI,,,Materials,Welding materials,"The component 'Wire/Gas combination' clearly relates to welding materials, as evidenced by Examples 1, 3, and 5 which all classify welding wire variants under 'Materials > Welding materials'. The combination of wire and gas is characteristic of gas-shielded welding processes (like MIG/MAG welding) where welding wire is fed continuously while being protected by an inert or active gas. This matches the pattern seen in Example 1 where 'Carbon dioxide gas shielded welding wire' combines both wire and gas elements.",dnv,alcotec wire companyrporationoration,alcotec wire companyrporationoration,False,Wire/Gas combination
AlcoTec Wire Corporation,United States,2026-12-31,Wire/Gas combination,ALMIGWELD ER 5183 / I1,dnv_12314d2c,,Traverse City,MI,,,Materials,Welding materials,"The component 'Wire/Gas combination' clearly relates to welding materials, as evidenced by Examples 1, 3, and 5 which all classify welding wire variants under 'Materials > Welding materials'. The combination of wire and gas is characteristic of gas-shielded welding processes (like MIG/MAG welding) where welding wire is fed continuously while being protected by an inert or active gas. This matches the pattern seen in Example 1 where 'Carbon dioxide gas shielded welding wire' combines both wire and gas elements.",dnv,alcotec wire companyrporationoration,alcotec wire companyrporationoration,False,Wire/Gas combination
AlcoTec Wire Corporation,United States,2026-12-31,Wire/Gas combination,ALMIGWELD ER 5356 / I1,dnv_4ea0036a,,Traverse City,MI,,,Materials,Welding materials,"The component 'Wire/Gas combination' clearly relates to welding materials, as evidenced by Examples 1, 3, and 5 which all classify welding wire variants under 'Materials > Welding materials'. The combination of wire and gas is characteristic of gas-shielded welding processes (like MIG/MAG welding) where welding wire is fed continuously while being protected by an inert or active gas. This matches the pattern seen in Example 1 where 'Carbon dioxide gas shielded welding wire' combines both wire and gas elements.",dnv,alcotec wire companyrporationoration,alcotec wire companyrporationoration,False,Wire/Gas combination
AlcoTec Wire Corporation,United States,2026-09-27,Wire/Gas combination,R5183 / I1,dnv_e8ace5ad,,Traverse City,MI,,,Materials,Welding materials,"The component 'Wire/Gas combination' clearly relates to welding materials, as evidenced by Examples 1, 3, and 5 which all classify welding wire variants under 'Materials > Welding materials'. The combination of wire and gas is characteristic of gas-shielded welding processes (like MIG/MAG welding) where welding wire is fed continuously while being protected by an inert or active gas. This matches the pattern seen in Example 1 where 'Carbon dioxide gas shielded welding wire' combines both wire and gas elements.",dnv,alcotec wire companyrporationoration,alcotec wire companyrporationoration,False,Wire/Gas combination
The Oilgear Company,United States,2026-07-07,Valve,"SV-139-16-NV 5"" GRAYLOC ISOLATION VALVE",dnv_6b03a194,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2026-05-18,Valve,SV191-06M,dnv_78bf1d14,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
Tenet Hydraulics Co,United States,2026-02-23,Valve,"8"" Hydraulic Isolation Valve",dnv_4449d6fd,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,tenet hydraulics company,tenet hydraulics company,False,Valve
The Oilgear Company,United States,2026-02-01,Valve,SPM-0808-X-02-SV-B98,dnv_5784f377,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
Tenet Hydraulics Co,United States,2026-01-18,Valve,2.5 inch Flow Shut-Off Valve,dnv_a952cccf,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,tenet hydraulics company,tenet hydraulics company,False,Valve
The Oilgear Company,United States,2025-12-21,Valve,RAMRIG FEED MANIFOLD (RMF-0505-D-01),dnv_92b170fb,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2025-12-01,Valve,"Proportional Anti-Recoil Valve, ARV-0505-X-MH1, ARV-0505-X-MH2, ARV-0505-X-MH3",dnv_5e9bda70,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2025-09-28,Valve,"FSV-0303-D-03 (NV-3"" POD FLOW SHUT-OFF VALVE)",dnv_8ede7674,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2025-09-24,Miscellaneous,"RCM-0606-D-EP-01 NV-6"" RAMRIG CYLINDER MANIFOLD",dnv_1def36e3,,Traverse City,MI,,,General Part,Miscellaneous items,"The term 'Miscellaneous' by itself is too generic to fit neatly into any specific category. Based on the examples, when 'miscellaneous' appears without context (like 'miscellaneous box' or 'miscellaneous utensils'), it defaults to a catch-all category. Since there's no specific location (interior/exterior) or function (kitchen/electrical) provided, it best fits under General Part as a miscellaneous item that could apply anywhere on the ship.",dnv,the oilgear companympany,the oilgear companympany,False,Miscellaneous
The Oilgear Company,United States,2025-09-14,Miscellaneous,"RAM-0303-DX-01  NV-3"" RAMRIG ACCUMULATOR MANIFOLD",dnv_e0ae4a1f,,Traverse City,MI,,,General Part,Miscellaneous items,"The term 'Miscellaneous' by itself is too generic to fit neatly into any specific category. Based on the examples, when 'miscellaneous' appears without context (like 'miscellaneous box' or 'miscellaneous utensils'), it defaults to a catch-all category. Since there's no specific location (interior/exterior) or function (kitchen/electrical) provided, it best fits under General Part as a miscellaneous item that could apply anywhere on the ship.",dnv,the oilgear companympany,the oilgear companympany,False,Miscellaneous
"DAVCO Technology, LLC",United States,2027-04-16,Fuel Oil Filter,,kr_2f378c33,"1600 Woodland Avenue Saline Michigan 48176, U.S.A",Saline,MI,+1 734 944 6416,,Machine Installation,Purification equipment,"A fuel oil filter is a mechanical device used to purify fuel by removing contaminants, making it clearly a purification equipment. This aligns perfectly with the 'Oil separator' example which is classified under Machine Installation > Purification equipment. While fuel oil itself would be classified under General Part > Oils, the filter is a mechanical component that performs a purification function, not a consumable or raw material.",kr,davco technology llc,davco technology llc,False,Fuel Oil Filter
AlcoTec Wire Corporation (ESAB GROUP INC),United States,2028-12-14,Welding Consumables,,kr_e60e0fa3,"2750, Aero Park Drive, Traverse city, MI 49685,  U.S.A.",Traverse city,MI,+1 231 941 4111,,Materials,Welding materials,"Welding consumables are materials that are consumed/used up during the welding process (electrodes, filler wire, flux, etc.). This aligns with Example 3 'Welding materials' and Example 4's specific welding materials classification. Since consumables are substances/materials that get consumed rather than equipment, they belong under 'Materials' rather than 'General Part' or 'Machine Installation'.",kr,alcotec wire companyrporationoration (esab group incorporated),alcotec wire companyrporationoration (esab group incorporated),False,Welding Consumables
BINSFELD ENGINEERING INC.,United States,2026-10-31,"Meter, Accelerometer",TorqueTrak TPM2,abs_10ba952a,"4571 WEST MACFARLANE ROAD, MAPLE CITY, MI, UNITED STATES, 49664",MAPLE CITY,MI,,,Electrical Parts,Navigation equipment,"An accelerometer is an electronic sensor that measures acceleration forces, commonly used in navigation systems for ships to detect vessel motion, pitch, roll, and heave. Following the pattern shown in Example 3 where 'Taximeter' is classified under 'Electrical Parts > Navigation equipment', the accelerometer fits perfectly as it is an electrical/electronic component used for navigation purposes. Like the taximeter, it's a specialized measuring device rather than a mechanical or structural component.",abs,binsfeld engineering incorporated,binsfeld engineering incorporated,False,"Meter, Accelerometer"
"BLACKMER, A DOVER RESOURCES COMPANY",United States,2028-01-23,Pump,"Magnes 3"" to 4"" Series, MI3, MI4, MS3 and MS4, Sliding Vane Magnetic Drive Pumps",abs_7ea28c7b,"1809 CENTURY AVE SW, GRAND RAPIDS, MI, UNITED STATES, 49503",GRAND RAPIDS,MI,,,Machine Installation,Pump,"The component 'Pump' is explicitly listed in Example 1 with the exact classification 'Machine Installation > Pump'. All pump-related examples (Centrifugal Pumps, Other pumps, Jet Pump, Screw Pumps) are classified under Machine Installation > Pump, confirming this is the standard classification path for pumps. According to the classification rules, equipment/machinery/mechanical parts belong to Machine Installation, which pumps clearly are.",abs,blackmer a dover resources companympany,blackmer a dover resources companympany,False,Pump
"BLACKMER, A DOVER RESOURCES COMPANY",United States,2029-01-28,Pump,"HXL 6"", 8"" & 10"" Series",abs_19212ee0,"1809 CENTURY AVE SW, GRAND RAPIDS, MI, UNITED STATES, 49503",GRAND RAPIDS,MI,,,Machine Installation,Pump,"The component 'Pump' is explicitly listed in Example 1 with the exact classification 'Machine Installation > Pump'. All pump-related examples (Centrifugal Pumps, Other pumps, Jet Pump, Screw Pumps) are classified under Machine Installation > Pump, confirming this is the standard classification path for pumps. According to the classification rules, equipment/machinery/mechanical parts belong to Machine Installation, which pumps clearly are.",abs,blackmer a dover resources companympany,blackmer a dover resources companympany,False,Pump
"BLACKMER, A DOVER RESOURCES COMPANY",United States,2029-01-23,Pump,"XL 1.25 "" to 4"" Series",abs_5d18b12f,"1809 CENTURY AVE SW, GRAND RAPIDS, MI, UNITED STATES, 49503",GRAND RAPIDS,MI,,,Machine Installation,Pump,"The component 'Pump' is explicitly listed in Example 1 with the exact classification 'Machine Installation > Pump'. All pump-related examples (Centrifugal Pumps, Other pumps, Jet Pump, Screw Pumps) are classified under Machine Installation > Pump, confirming this is the standard classification path for pumps. According to the classification rules, equipment/machinery/mechanical parts belong to Machine Installation, which pumps clearly are.",abs,blackmer a dover resources companympany,blackmer a dover resources companympany,False,Pump
"BLACKMER, A DOVER RESOURCES COMPANY",United States,2029-01-23,Pump,"ML & MLX 4"" Series",abs_bfbabd03,"1809 CENTURY AVE SW, GRAND RAPIDS, MI, UNITED STATES, 49503",GRAND RAPIDS,MI,,,Machine Installation,Pump,"The component 'Pump' is explicitly listed in Example 1 with the exact classification 'Machine Installation > Pump'. All pump-related examples (Centrifugal Pumps, Other pumps, Jet Pump, Screw Pumps) are classified under Machine Installation > Pump, confirming this is the standard classification path for pumps. According to the classification rules, equipment/machinery/mechanical parts belong to Machine Installation, which pumps clearly are.",abs,blackmer a dover resources companympany,blackmer a dover resources companympany,False,Pump
"BLACKMER, A DOVER RESOURCES COMPANY",United States,2029-01-28,Pump,"HXL 6"", 8"" & 10"" Series",abs_10dacd30,"1809 CENTURY AVE SW, GRAND RAPIDS, MI, UNITED STATES, 49503",GRAND RAPIDS,MI,,,Machine Installation,Pump,"The component 'Pump' is explicitly listed in Example 1 with the exact classification 'Machine Installation > Pump'. All pump-related examples (Centrifugal Pumps, Other pumps, Jet Pump, Screw Pumps) are classified under Machine Installation > Pump, confirming this is the standard classification path for pumps. According to the classification rules, equipment/machinery/mechanical parts belong to Machine Installation, which pumps clearly are.",abs,blackmer a dover resources companympany,blackmer a dover resources companympany,False,Pump
"BLACKMER, A DOVER RESOURCES COMPANY",United States,2027-10-06,Pump,LGL and TX Series,abs_eb4f8159,"1809 CENTURY AVE SW, GRAND RAPIDS, MI, UNITED STATES, 49503",GRAND RAPIDS,MI,,,Machine Installation,Pump,"The component 'Pump' is explicitly listed in Example 1 with the exact classification 'Machine Installation > Pump'. All pump-related examples (Centrifugal Pumps, Other pumps, Jet Pump, Screw Pumps) are classified under Machine Installation > Pump, confirming this is the standard classification path for pumps. According to the classification rules, equipment/machinery/mechanical parts belong to Machine Installation, which pumps clearly are.",abs,blackmer a dover resources companympany,blackmer a dover resources companympany,False,Pump
"DAVCO TECHNOLOGY, LLC.",United States,2024-10-08,Fuel Oil Filtration System,"Sea Pro: 881, 882, 891, 892",abs_8ada2430,"1600 WOODLAND DRIVE, SALINE, MI, UNITED STATES, 48176",SALINE,MI,,,Machine Installation,Purification equipment,"A 'Fuel Oil Filtration System' is clearly a piece of machinery/equipment used to purify fuel oil by removing contaminants, aligning perfectly with the 'Purification equipment' subcategory under 'Machine Installation'. This follows the same pattern as Example 1 (Oil separator) and Example 4 (Tank cleaning machinery), both of which are purification equipment under Machine Installation. The system performs a purification function (filtration) on fuel oil, making this classification the most accurate.",abs,davco technology llc,davco technology llc,False,Fuel Oil Filtering Systems
"EAGLE ALLOY, INC.",United States,2028-10-03,Container: Corner Castings,"CBX-CC-00001, CBX-CC-00002, CBX-CC-00003, CBX-CC-00004",abs_e2f63692,"5142 EVANSTON AVE, MUSKEGON, MI, UNITED STATES, 49442",MUSKEGON,MI,,,Materials,Other Materials,"Corner castings are specialized metal castings used as structural fittings on shipping containers. Following Example 1 where 'casting' was classified under Materials > Other Materials > casting, corner castings are fundamentally cast metal components. They are raw material elements (steel castings) rather than finished equipment or machinery, making the Materials category most appropriate.",abs,eagle alloy incorporated,eastern alloy incorporated,False,Container: Corner Castings
FIREBOY-XINTEX LLC,United States,2026-04-11,Fire Suppression System,FES Series,abs_d2f760c4,"O-379 LAKE MICHIGAN DRIVE NW, GRAND RAPIDS, MI, UNITED STATES, 49534",GRAND RAPIDS,MI,,,Tube Part,Fire protection system,"Based on the examples provided, fire-related protection systems are consistently classified under 'Tube Part > Fire protection system' (Examples 1, 3, and 4). Since 'Fire Suppression System' is a comprehensive system that includes extinguishing equipment and suppression mechanisms, it logically belongs at the same level as 'Fire extinguishing equipment' (Example 4) but as a broader system category. The term 'suppression' encompasses both detection and extinguishing functions, making it a natural fit under the Fire protection system umbrella.",abs,fireboy-xintex llc,fireboy-xintex llc,False,Fire Suppression System
MP PUMPS INC.,United States,2026-10-26,"Pump, Centrifugal Self-Priming",FMX100,abs_b6913f26,"29555 STEPHENSON HWY, MADISION HEIGHTS, MI, UNITED STATES, 48071",MADISION HEIGHTS,MI,,,Machine Installation,Pump,"The component is explicitly a pump, which places it under 'Machine Installation' (equipment/machinery). The term 'Centrifugal' directly matches the Level 3 category 'Centrifugal Pumps' shown in Example 1. The 'Self-Priming' descriptor is a technical feature of centrifugal pumps, not a separate category, so it remains classified as 'Centrifugal Pumps'.",abs,mp pumps incorporated,mp pumps incorporated,False,"Pump, Centrifugal Self-Priming"
MP PUMPS INC.,United States,2026-10-26,"Pump, Centrifugal Self-Priming",FMX75,abs_05c1b338,"29555 STEPHENSON HWY, MADISION HEIGHTS, MI, UNITED STATES, 48071",MADISION HEIGHTS,MI,,,Machine Installation,Pump,"The component is explicitly a pump, which places it under 'Machine Installation' (equipment/machinery). The term 'Centrifugal' directly matches the Level 3 category 'Centrifugal Pumps' shown in Example 1. The 'Self-Priming' descriptor is a technical feature of centrifugal pumps, not a separate category, so it remains classified as 'Centrifugal Pumps'.",abs,mp pumps incorporated,mp pumps incorporated,False,"Pump, Centrifugal Self-Priming"
MP PUMPS INC.,United States,2027-06-22,"Pump, Centrifugal Self-Priming",Flomax 30,abs_7d19b38a,"29555 STEPHENSON HWY, MADISION HEIGHTS, MI, UNITED STATES, 48071",MADISION HEIGHTS,MI,,,Machine Installation,Pump,"The component is explicitly a pump, which places it under 'Machine Installation' (equipment/machinery). The term 'Centrifugal' directly matches the Level 3 category 'Centrifugal Pumps' shown in Example 1. The 'Self-Priming' descriptor is a technical feature of centrifugal pumps, not a separate category, so it remains classified as 'Centrifugal Pumps'.",abs,mp pumps incorporated,mp pumps incorporated,False,"Pump, Centrifugal Self-Priming"
MP PUMPS INC.,United States,2027-06-26,"Pump, Centrifugal Self-Priming",Flomax 10 & Flomax 15,abs_455dade2,"29555 STEPHENSON HWY, MADISION HEIGHTS, MI, UNITED STATES, 48071",MADISION HEIGHTS,MI,,,Machine Installation,Pump,"The component is explicitly a pump, which places it under 'Machine Installation' (equipment/machinery). The term 'Centrifugal' directly matches the Level 3 category 'Centrifugal Pumps' shown in Example 1. The 'Self-Priming' descriptor is a technical feature of centrifugal pumps, not a separate category, so it remains classified as 'Centrifugal Pumps'.",abs,mp pumps incorporated,mp pumps incorporated,False,"Pump, Centrifugal Self-Priming"
MP PUMPS INC.,United States,2027-06-28,"Pump, Centrifugal Self-Priming",Flomax 5 & Flomax 8,abs_a4c5198b,"29555 STEPHENSON HWY, MADISION HEIGHTS, MI, UNITED STATES, 48071",MADISION HEIGHTS,MI,,,Machine Installation,Pump,"The component is explicitly a pump, which places it under 'Machine Installation' (equipment/machinery). The term 'Centrifugal' directly matches the Level 3 category 'Centrifugal Pumps' shown in Example 1. The 'Self-Priming' descriptor is a technical feature of centrifugal pumps, not a separate category, so it remains classified as 'Centrifugal Pumps'.",abs,mp pumps incorporated,mp pumps incorporated,False,"Pump, Centrifugal Self-Priming"
MP PUMPS INC.,United States,2027-06-29,"Pump, Centrifugal Self-Priming","HHLF 1.5, HHLF 2.0 & HHLF 2 HO",abs_ed801b20,"29555 STEPHENSON HWY, MADISION HEIGHTS, MI, UNITED STATES, 48071",MADISION HEIGHTS,MI,,,Machine Installation,Pump,"The component is explicitly a pump, which places it under 'Machine Installation' (equipment/machinery). The term 'Centrifugal' directly matches the Level 3 category 'Centrifugal Pumps' shown in Example 1. The 'Self-Priming' descriptor is a technical feature of centrifugal pumps, not a separate category, so it remains classified as 'Centrifugal Pumps'.",abs,mp pumps incorporated,mp pumps incorporated,False,"Pump, Centrifugal Self-Priming"
MP PUMPS INC.,United States,2027-06-23,"Pump, Centrifugal Self-Priming",Flomax 40,abs_18d04034,"29555 STEPHENSON HWY, MADISION HEIGHTS, MI, UNITED STATES, 48071",MADISION HEIGHTS,MI,,,Machine Installation,Pump,"The component is explicitly a pump, which places it under 'Machine Installation' (equipment/machinery). The term 'Centrifugal' directly matches the Level 3 category 'Centrifugal Pumps' shown in Example 1. The 'Self-Priming' descriptor is a technical feature of centrifugal pumps, not a separate category, so it remains classified as 'Centrifugal Pumps'.",abs,mp pumps incorporated,mp pumps incorporated,False,"Pump, Centrifugal Self-Priming"
